date;Italy;US;India;Germany;China
2020-01-22;0;1;0;0;548
2020-01-23;0;1;0;0;643
2020-01-24;0;2;0;0;920
2020-01-25;0;2;0;0;1406
2020-01-26;0;5;0;0;2075
2020-01-27;0;5;0;1;2877
2020-01-28;0;5;0;4;5509
2020-01-29;0;5;0;4;6087
2020-01-30;0;5;1;4;8141
2020-01-31;2;7;1;5;9802
2020-02-01;2;8;1;8;11891
2020-02-02;2;8;2;10;16630
2020-02-03;2;11;3;12;19716
2020-02-04;2;11;3;12;23707
2020-02-05;2;11;3;12;27440
2020-02-06;2;11;3;12;30587
2020-02-07;3;11;3;13;34110
2020-02-08;3;11;3;13;36814
2020-02-09;3;11;3;14;39829
2020-02-10;3;11;3;14;42354
2020-02-11;3;12;3;16;44386
2020-02-12;3;12;3;16;44759
2020-02-13;3;13;3;16;59895
2020-02-14;3;13;3;16;66358
2020-02-15;3;13;3;16;68413
2020-02-16;3;13;3;16;70513
2020-02-17;3;13;3;16;72434
2020-02-18;3;13;3;16;74211
2020-02-19;3;13;3;16;74619
2020-02-20;3;13;3;16;75077
2020-02-21;20;15;3;16;75550
2020-02-22;62;15;3;16;77001
2020-02-23;155;15;3;16;77022
2020-02-24;229;15;3;16;77241
2020-02-25;322;15;3;17;77754
2020-02-26;453;15;3;27;78166
2020-02-27;655;16;3;46;78600
2020-02-28;888;16;3;48;78928
2020-02-29;1128;24;3;79;79356
2020-03-01;1694;30;3;130;79932
2020-03-02;2036;52;5;159;80136
2020-03-03;2502;72;5;196;80261
2020-03-04;3089;103;28;262;80386
2020-03-05;3858;172;30;482;80537
2020-03-06;4636;215;31;670;80690
2020-03-07;5883;337;34;799;80770
2020-03-08;7375;450;39;1040;80823
2020-03-09;9172;515;43;1176;80860
2020-03-10;10149;713;56;1457;80887
2020-03-11;12462;1105;62;1908;80921
2020-03-12;15113;1530;73;2078;80932
2020-03-13;17660;2115;82;3675;80945
2020-03-14;21157;2814;102;4585;80977
2020-03-15;24747;2986;113;5795;81003
2020-03-16;27980;4354;119;7272;81033
2020-03-17;31506;5970;142;9257;81058
2020-03-18;35713;8386;156;12327;81102
